t,x,y
0,-1.12397,0.459253
0.05,-0.813903,0.536213
0.1,-0.812057,0.50003
0.15,-1.016,0.682545
0.2,-1.0668,0.429282
0.25,-0.868179,0.64979
0.3,-0.840764,0.419159
0.35,-0.847766,0.632254
0.4,-0.740399,0.458333
0.45,-0.718955,0.473345
0.5,-0.670872,0.369634
0.55,-0.814451,0.508867
0.6,-0.744477,0.564572
0.65,-0.641591,0.532517
0.7,-0.668739,0.481556
0.75,-0.428023,0.695279
0.8,-0.721285,0.67723
0.85,-0.632668,0.539586
0.9,-0.58417,0.670773
0.95,-0.49393,0.506486
1,-0.309678,0.862734
1.05,-0.282956,0.784098
1.1,-0.443653,0.743348
1.15,-0.269773,0.752379
1.2,-0.501037,0.741069
1.25,-0.314238,0.749506
1.3,-0.260412,0.716877
1.35,-0.374392,0.771358
1.4,-0.156774,0.524183
1.45,-0.173122,0.537006
1.5,-0.114842,0.679564
1.55,0.216384,0.880954
1.6,-0.131344,0.587716
1.65,0.0288577,0.635381
1.7,-0.0871491,0.646184
1.75,0.151421,0.821083
1.8,-0.00489485,0.697587
1.85,-0.0082224,0.558542
1.9,0.171868,0.510068
1.95,0.0742194,0.693181
2,0.21731,0.572064
2.05,0.338923,0.697609
2.1,0.187404,0.562488
2.15,0.383678,0.634385
2.2,0.345128,0.529382
2.25,0.359689,0.410372
2.3,0.25213,0.463386
2.35,0.504686,0.368879
2.4,0.341373,0.403783
2.45,0.41047,0.46491
2.5,0.460706,0.17733
2.55,0.400437,0.44899
2.6,0.60423,0.366593
2.65,0.625689,0.302104
2.7,0.454788,0.414715
2.75,0.467922,0.0661191
2.8,0.670847,0.404262
2.85,0.583666,0.254305
2.9,0.589953,0.22323
2.95,0.69679,0.182988
3,0.638021,0.382948
3.05,0.675434,0.186078
3.1,0.77927,0.04664
3.15,0.612519,0.0763746
3.2,0.609262,0.0342977
3.25,0.726223,0.232041
3.3,0.714759,0.0200476
3.35,0.544007,-0.107359
3.4,0.550387,0.124513
3.45,0.746352,0.0567555
3.5,0.699579,-0.159127
3.55,0.821201,0.109734
3.6,0.798567,0.0376972
3.65,0.640403,-0.00338026
3.7,0.826416,0.044564
3.75,0.849608,0.0242917
3.8,0.706137,-0.109013
3.85,0.601449,0.0918582
3.9,0.638993,-0.168709
3.95,0.594481,-0.365657
4,0.641254,-0.298632
4.05,0.586023,-0.334645
4.1,0.535701,-0.0895202
4.15,0.734385,-0.386133
4.2,0.513098,-0.221528
4.25,0.608496,-0.298348
4.3,0.45394,-0.241339
4.35,0.473604,-0.572228
4.4,0.460874,-0.301003
4.45,0.558846,-0.241916
4.5,0.37125,-0.263326
4.55,0.428151,-0.333075
4.6,0.636807,-0.382337
4.65,0.536708,-0.283672
4.7,0.452957,-0.375647
4.75,0.143302,-0.485501
4.8,0.451386,-0.505385
4.85,0.378883,-0.524608
4.9,0.256375,-0.508403
4.95,0.348406,-0.434518
