t,x,y
0,-1.06199,0.479626
0.05,-0.894504,0.516225
0.1,-0.881198,0.497414
0.15,-0.970796,0.589012
0.2,-0.983779,0.463686
0.25,-0.871965,0.576121
0.3,-0.845625,0.463778
0.35,-0.836327,0.574008
0.4,-0.769644,0.491361
0.45,-0.745693,0.503734
0.5,-0.708166,0.457222
0.55,-0.766193,0.532581
0.6,-0.717149,0.566497
0.65,-0.651338,0.556774
0.7,-0.650225,0.53776
0.75,-0.514855,0.651169
0.8,-0.646145,0.648692
0.85,-0.586171,0.586336
0.9,-0.545937,0.658231
0.95,-0.484521,0.582144
1,-0.375806,0.766
1.05,-0.345578,0.732013
1.1,-0.408805,0.716493
1.15,-0.304514,0.725317
1.2,-0.402594,0.723361
1.25,-0.291475,0.730606
1.3,-0.246708,0.716597
1.35,-0.285749,0.745373
1.4,-0.158933,0.622517
1.45,-0.149085,0.628827
1.5,-0.101949,0.699151
1.55,0.0815905,0.798029
1.6,-0.0744596,0.64873
1.65,0.0233001,0.669028
1.7,-0.0172423,0.670058
1.75,0.119265,0.752323
1.8,0.05805,0.684613
1.85,0.0730127,0.60839
1.9,0.179332,0.576759
1.95,0.146395,0.660278
2,0.233412,0.591095
2.05,0.309244,0.644712
2.1,0.248041,0.567523
2.15,0.360243,0.59343
2.2,0.354521,0.530535
2.25,0.374828,0.46034
2.3,0.333534,0.475919
2.35,0.471746,0.417551
2.4,0.401464,0.423756
2.45,0.446823,0.442984
2.5,0.482183,0.287814
2.55,0.461721,0.412258
2.6,0.572722,0.359703
2.65,0.591989,0.316162
2.7,0.514513,0.361256
2.75,0.528497,0.175854
2.8,0.636824,0.333946
2.85,0.599553,0.248126
2.9,0.608477,0.221896
2.95,0.667146,0.191239
3,0.642488,0.280841
3.05,0.665407,0.172188
3.1,0.72103,0.0924089
3.15,0.640861,0.097371
3.2,0.641947,0.0665763
3.25,0.702658,0.155834
3.3,0.698679,0.0403561
3.35,0.614585,-0.0327036
3.4,0.618593,0.0739903
3.45,0.716933,0.0309734
3.5,0.69345,-0.0860124
3.55,0.753714,0.0394569
3.6,0.741404,-0.00544908
3.65,0.660886,-0.0348116
3.7,0.752017,-0.0196077
3.75,0.7613,-0.038464
3.8,0.686817,-0.113795
3.85,0.631293,-0.022001
3.9,0.646453,-0.160893
3.95,0.620156,-0.267943
4,0.639073,-0.242974
4.05,0.606561,-0.26949
4.1,0.57608,-0.155398
4.15,0.669679,-0.312128
4.2,0.552873,-0.238195
4.25,0.593993,-0.284908
4.3,0.509722,-0.264625
4.35,0.512153,-0.438195
4.4,0.497983,-0.310593
4.45,0.538767,-0.288925
4.5,0.436377,-0.307345
4.55,0.455854,-0.34975
4.6,0.550838,-0.381701
4.65,0.491083,-0.339449
4.7,0.439156,-0.392247
4.75,0.273943,-0.453684
4.8,0.417283,-0.469805
4.85,0.370029,-0.485231
4.9,0.297491,-0.482547
4.95,0.331962,-0.450598
