t,x,y
0,-0.0123974,0.495925
0.05,0.0409851,0.498402
0.1,0.0632489,0.488161
0.15,0.0645684,0.498441
0.2,0.0807718,0.463856
0.25,0.121423,0.475425
0.3,0.144401,0.440726
0.35,0.163328,0.449319
0.4,0.19303,0.418204
0.45,0.21343,0.405054
0.5,0.23574,0.379183
0.55,0.23809,0.376838
0.6,0.260964,0.365453
0.65,0.286265,0.344683
0.7,0.297672,0.321494
0.75,0.334948,0.324321
0.8,0.31789,0.303596
0.85,0.338066,0.270608
0.9,0.353263,0.26427
0.95,0.371656,0.228218
1,0.398467,0.244115
1.05,0.408537,0.216478
1.1,0.398877,0.19264
1.15,0.421687,0.17384
1.2,0.403,0.153112
1.25,0.425143,0.134509
1.3,0.433022,0.111985
1.35,0.423161,0.0983932
1.4,0.445515,0.0548865
1.45,0.44354,0.0376565
1.5,0.448109,0.0336994
1.55,0.47907,0.0359444
1.6,0.441249,-0.0109376
1.65,0.453352,-0.0233796
1.7,0.436983,-0.0391461
1.75,0.455238,-0.038131
1.8,0.433191,-0.0665743
1.85,0.425647,-0.096183
1.9,0.43567,-0.116338
1.95,0.417164,-0.112928
2,0.421997,-0.139529
2.05,0.423968,-0.141041
2.1,0.397933,-0.168188
2.15,0.406007,-0.174189
2.2,0.38995,-0.197424
2.25,0.37858,-0.221588
2.3,0.354396,-0.228062
2.35,0.365648,-0.248783
2.4,0.334762,-0.256036
2.45,0.326594,-0.260119
2.5,0.316044,-0.298502
2.55,0.293977,-0.280366
2.6,0.29788,-0.297014
2.65,0.283146,-0.311224
2.7,0.248804,-0.30705
2.75,0.232528,-0.348297
2.8,0.234931,-0.320142
2.85,0.208058,-0.340046
2.9,0.190307,-0.347286
2.95,0.182423,-0.354644
3,0.157833,-0.337164
3.05,0.142756,-0.358532
3.1,0.134258,-0.373305
3.15,0.0986816,-0.3703
3.2,0.079478,-0.373605
3.25,0.0723631,-0.352054
3.3,0.0525165,-0.3706
3.35,0.0168955,-0.379816
3.4,-0.000814254,-0.352238
3.45,0.000675301,-0.353769
3.5,-0.0218256,-0.369272
3.55,-0.0271621,-0.33548
3.6,-0.0465587,-0.334979
3.65,-0.0791038,-0.330607
3.7,-0.0767884,-0.316588
3.75,-0.0902758,-0.308675
3.8,-0.119915,-0.311385
3.85,-0.145129,-0.280032
3.9,-0.155541,-0.294215
3.95,-0.173551,-0.301468
4,-0.181797,-0.281795
4.05,-0.199582,-0.271938
4.1,-0.216192,-0.233522
4.15,-0.207196,-0.248877
4.2,-0.239473,-0.21775
4.25,-0.239339,-0.210445
4.3,-0.263445,-0.189481
4.35,-0.269359,-0.20707
4.4,-0.277733,-0.164253
4.45,-0.274248,-0.142494
4.5,-0.298524,-0.128669
4.55,-0.29755,-0.1196
4.6,-0.280597,-0.108441
4.65,-0.293715,-0.0824849
4.7,-0.304394,-0.0756239
4.75,-0.336862,-0.0706163
4.8,-0.306759,-0.0567108
4.85,-0.313923,-0.0428706
4.9,-0.325304,-0.025651
4.95,-0.314456,-0.00285761
