t,x,y
0,-0.0619868,0.479626
0.05,0.105466,0.514393
0.1,0.118561,0.490253
0.15,0.0284025,0.573267
0.2,0.0143547,0.436333
0.25,0.124452,0.53436
0.3,0.14829,0.405031
0.35,0.154176,0.495916
0.4,0.216426,0.391782
0.45,0.23482,0.380743
0.5,0.265576,0.309113
0.55,0.199484,0.357867
0.6,0.239101,0.363913
0.65,0.294063,0.325277
0.7,0.282861,0.27653
0.75,0.404414,0.359609
0.8,0.257779,0.326426
0.85,0.300868,0.233209
0.9,0.322676,0.274304
0.95,0.36413,0.167692
1,0.45137,0.321502
1.05,0.458635,0.258146
1.1,0.370998,0.214124
1.15,0.44948,0.195489
1.2,0.324246,0.167279
1.25,0.406933,0.149628
1.3,0.422059,0.11221
1.35,0.352247,0.119181
1.4,0.447243,-0.0237809
1.45,0.42431,-0.0357998
1.5,0.437795,0.0180299
1.55,0.586905,0.102284
1.6,0.395742,-0.0597485
1.65,0.457798,-0.0502969
1.7,0.381058,-0.0582446
1.75,0.480963,0.0168766
1.8,0.382835,-0.0561952
1.85,0.360659,-0.136061
1.9,0.429699,-0.16969
1.95,0.359423,-0.086606
2,0.409115,-0.154754
2.05,0.44771,-0.0987231
2.1,0.349423,-0.172216
2.15,0.424755,-0.141426
2.2,0.382435,-0.198346
2.25,0.366468,-0.261563
2.3,0.289273,-0.238088
2.35,0.392,-0.287721
2.4,0.286689,-0.272014
2.45,0.297511,-0.242578
2.5,0.298862,-0.386889
2.55,0.244949,-0.25098
2.6,0.323087,-0.291502
2.65,0.310106,-0.32247
2.7,0.201024,-0.264283
2.75,0.184068,-0.436084
2.8,0.262149,-0.263889
2.85,0.195349,-0.335103
2.9,0.175488,-0.346219
2.95,0.206139,-0.361245
3,0.154259,-0.255479
3.05,0.150777,-0.34742
3.1,0.18085,-0.409921
3.15,0.0760081,-0.387097
3.2,0.0533301,-0.399428
3.25,0.0912152,-0.291088
3.3,0.0653803,-0.386847
3.35,-0.0395673,-0.43954
3.4,-0.0553786,-0.31182
3.45,0.0242104,-0.333143
3.5,-0.0169222,-0.427764
3.55,0.0268274,-0.279259
3.6,-0.00082812,-0.300462
3.65,-0.0954904,-0.305462
3.7,-0.0172693,-0.265251
3.75,-0.0196299,-0.258471
3.8,-0.10446,-0.30756
3.85,-0.169005,-0.188945
3.9,-0.161509,-0.300468
3.95,-0.194091,-0.379639
4,-0.180052,-0.326321
4.05,-0.216013,-0.324062
4.1,-0.248495,-0.18082
4.15,-0.155431,-0.308081
4.2,-0.271293,-0.204416
4.25,-0.227737,-0.221198
4.3,-0.308071,-0.170852
4.35,-0.300198,-0.314296
4.4,-0.30742,-0.156581
4.45,-0.258185,-0.104888
4.5,-0.350625,-0.0934542
4.55,-0.319712,-0.10626
4.6,-0.211821,-0.10895
4.65,-0.257215,-0.0378636
4.7,-0.293353,-0.0623438
4.75,-0.441375,-0.0960697
4.8,-0.279476,-0.0851751
4.85,-0.30684,-0.0743724
4.9,-0.358197,-0.0463351
4.95,-0.301301,0.0100061
